original attribute	Domain	Mapping function
SourceSample_BESPEC	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=BESPEC;Insert:QLABEL,Val=Specimen Type;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sourceSampleID_1;
Followup	DS	Rename:DSSTDY;Insert:DSTERM,Val=FOLLOW-UP;Insert:DSDECOD,Val=FOLLOW-UP;
SCCAI_entry	CC	Rename:CCORRES;Insert:CCTESTCD,Val=SCCAI;Insert:CCTEST,Val=Simple Clinical Colitis Activity Index;Insert:CCCAT,Val=SIMPLE CLINICAL COLITIS ACTIVITY INDEX;Insert:CCDY,Val=1;
SCCAI_1	CC	Rename:CCORRES;Insert:CCTESTCD,Val=SCCAI;Insert:CCTEST,Val=Simple Clinical Colitis Activity Index;Insert:CCCAT,Val=SIMPLE CLINICAL COLITIS ACTIVITY INDEX;
SCCAI_2	CC	Rename:CCORRES;Insert:CCTESTCD,Val=SCCAI;Insert:CCTEST,Val=Simple Clinical Colitis Activity Index;Insert:CCCAT,Val=SIMPLE CLINICAL COLITIS ACTIVITY INDEX;
SCCAI_timing1	CC	Rename:CCDY;RelTo:SCCAI_1;
SCCAI_timing2	CC	Rename:CCDY;RelTo:SCCAI_2;
CE_timing1	CE	Rename:CEDY;Insert:CETERM,Val=ULCERATIVE COLITIS FLARE;Insert:CEOCCUR,Val=Y;
CE_timing2	CE	Rename:CEDY;Insert:CETERM,Val=ULCERATIVE COLITIS FLARE;Insert:CEOCCUR,Val=Y;
3dpucai_STRESC	CC	Rename:CCSTRESC;RelTo:3dpucai;
3dpucai_STRESN	CC	Rename:CCSTRESN;RelTo:3dpucai;
5dpucai_STRESC	CC	Rename:CCSTRESC;RelTo:5dpucai;
5dpucai_STRESN	CC	Rename:CCSTRESN;RelTo:5dpucai;
SCCAI_entry_STRESC	CC	Rename:CCSTRESC;RelTo:SCCAI_entry;
SCCAI_entry_STRESN	CC	Rename:CCSTRESN;RelTo:SCCAI_entry;
SCCAI_1_STRESC	CC	Rename:CCSTRESC;RelTo:SCCAI_1;
SCCAI_1_STRESN	CC	Rename:CCSTRESN;RelTo:SCCAI_1;
SCCAI_2_STRESC	CC	Rename:CCSTRESC;RelTo:SCCAI_2;
SCCAI_2_STRESN	CC	Rename:CCSTRESN;RelTo:SCCAI_2;
fibrostenotic_MHLOC	MH	Rename:MHLOC;RelTo:fibrostenotic_1;
RSMETHOD_GSE23597	RS	Rename:RSMETHOD;RelTo:inflix8wk_1;RelTo:inflix30wk_1;
RSMETHOD1_GSE23597	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH1;Insert:QLABEL,Val=Method of Test or Examination 1;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:inflix8wk_1;RelTo:inflix30wk_1;
RSMETHOD2_GSE23597	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH2;Insert:QLABEL,Val=Method of Test or Examination 2;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:inflix8wk_1;RelTo:inflix30wk_1;
montL_1	MH	Rename:MHLOC;Insert:MHOCCUR,Val=Y;Insert:MHTERM,Val=ULCERATIVE COLITIS;Insert:MHDY,Val=1;
montL_LOC1	SUPPMH	Rename:QVAL;Insert:RDOMAIN,Val=MH;Insert:IDVAR,Val=MHSEQ;Insert:QNAM,Val=MHLOC1;Insert:QLABEL,Val=Location of Event 1;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:montL_1;
montL_LOC2	SUPPMH	Rename:QVAL;Insert:RDOMAIN,Val=MH;Insert:IDVAR,Val=MHSEQ;Insert:QNAM,Val=MHLOC2;Insert:QLABEL,Val=Location of Event 2;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:montL_1;
3dpucai_SUPP	SUPPCC	Rename:QVAL;Insert:RDOMAIN,Val=CC;Insert:IDVAR,Val=CCSEQ;Insert:QNAM,Val=PUCAIINT;Insert:QLABEL,Val=PUCAI Interpretation;Insert:QORIG,Val=DERIVED;RelTo:3dpucai;
5dpucai_SUPP	SUPPCC	Rename:QVAL;Insert:RDOMAIN,Val=CC;Insert:IDVAR,Val=CCSEQ;Insert:QNAM,Val=PUCAIINT;Insert:QLABEL,Val=PUCAI Interpretation;Insert:QORIG,Val=DERIVED;RelTo:5dpucai;
BELNKID	BE	RelTo:sampleID_NoParent;
CMLNKID	CM	RelTo:CMTRT_sampling;
MHLNKID	MH	RelTo:condition_1;RelTo:fibrostenotic_1;
CMTRT_declined	CM	Rename:CMTRT;Insert:CMOCCUR,Val=N;
MHGRPID	MH	RelTo:condition_1;
EXGRPID	EX	RelTo:EXTRT;
RSGRPID	RS	RelTo:samplingTherapiesResponse_1;RelTo:inflix8wk_1;
CCGRPID	CC	RelTo:cai;
CCLNKID	CC	RelTo:3dpucai;RelTo:5dpucai;
CMLNKGRP	CM	RelTo:CMTRT_sampling;
MHLNKGRP	MH	RelTo:condition_1;
RSLNKGRP	RS	RelTo:inflix30wk_1;
EXLNKGRP	EX	RelTo:EXTRT;
PRLNKID	PR	RelTo:SurgicalProcedure_UC_1;
MILNKID	MI	RelTo:histoSymptoms_1;RelTo:histoSymptoms_2;RelTo:histoSymptoms_3;
sampleID_RNA	BE	Rename:BEREFID;Insert:BETERM,Val=Extracted;Insert:BEDECOD,Val=EXTRACTED;Insert:BECAT,Val=EXTRACTION;
sampledTissue_RNA	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=BESPEC;Insert:QLABEL,Val=Specimen Type;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_RNA;
